ENSG00000127720	24.02	0	0	0	0	22.01	0	0	0	0	0	0	0	0	0	0	65.0233	3.01	0	0	0	0	0	0	0	64.4317	0	0	0	0	0	0	0	0	0
ENSG00000051596	129.526	0	0	1.01	99.2317	219.545	142.275	110.418	68.0982	0	0.51	0	81.444	0	0	48.0454	0	13.8613	0	0	0	42.8218	0	273.337	47.3254	194.529	1.01	88.5923	0	426.725	21.5461	1.01	73.4037	12.02	168.762
ENSG00000135541	41.0114	109.03	123.02	15.02	0	16.02	182.039	2.01	0	49.0396	42.01	325.028	6.01	157.03	42.02	0	0	2.02909	20.613	0	0	0	0	1.01	4.01	0	0	89.02	0	5.01	273.018	242.02	1.01	0	0
ENSG00000143376	107.757	103.617	0	0	6.44383	47.0958	1.01191	1.045	116.832	1.10323	0	0	0	1.02373	0	1.05696	0	6.01	91.0116	1.03966	0	130.978	17.7867	2.35746	0	1.01087	5.93089	152.428	0	12.01	75.3397	0	0	18.7286	2.09758
ENSG00000172172	92.02	7.01	19.02	64.01	82.0336	183.047	0	72.8067	354.053	58.01	140.02	1.01	345.551	0	0	85.02	110.03	175.06	50.01	0	71.01	57.0264	0	0	1.01	67.0263	2.01	10.01	58.0458	155.01	223.01	204.01	240.01	225.04	116.01
ENSG00000132604	1.01	20.0107	1.0195	9.01	48.0855	0	1.48301	93.0301	138.126	119.739	160.031	1.05683	1.01	0	0	20.431	1.01	4.03196	2.01	1.01	1.01	17.9448	0	14.01	0	1.04479	0	89.1464	1.08605	130.788	96.3527	1.27359	38.1454	0	15.01
ENSG00000111218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	3.14847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131724	0	0	0	0	0	69.01	0	0	0	0	0	1.26058	0	12.02	0	2.59863	0	8.99135	11.01	0	13.0105	0	0	0	9.02808	0	0	0	0	121.015	0	0	0	0	2.01
ENSG00000162676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
