ENSMUSG00000102312	5332
ENSMUSG00000021481	345
ENSMUSG00000020577	1932
ENSMUSG00000092162	3039
ENSMUSG00000028494	551
ENSMUSG00000014813	3743
ENSMUSG00000026442	750
ENSMUSG00000055013	4078
ENSMUSG00000027624	640
ENSMUSG00000082961	595
ENSMUSG00000009555	1733
ENSMUSG00000028479	1797
ENSMUSG00000101710	696
ENSMUSG00000038570	1927
ENSMUSG00000054568	2656
ENSMUSG00000034071	2591
ENSMUSG00000032959	644
ENSMUSG00000101564	3973
ENSMUSG00000029675	1654
ENSMUSG00000037953	2757
ENSMUSG00000007594	3576
ENSMUSG00000034083	370
ENSMUSG00000101826	890
ENSMUSG00000019880	2394
ENSMUSG00000007850	2225
ENSMUSG00000075334	1460
ENSMUSG00000031105	1516
ENSMUSG00000005360	728
ENSMUSG00000019178	1236
ENSMUSG00000075402	2312
ENSMUSG00000106619	604
ENSMUSG00000020178	2534
ENSMUSG00000093474	623
ENSMUSG00000100549	573
ENSMUSG00000041396	1419
ENSMUSG00000084370	1527
ENSMUSG00000081562	228
ENSMUSG00000032328	3658
ENSMUSG00000091037	270
ENSMUSG00000021290	365
ENSMUSG00000107787	121
ENSMUSG00000024816	700
ENSMUSG00000101401	402
ENSMUSG00000040936	2639
ENSMUSG00000073945	957
ENSMUSG00000081750	432
ENSMUSG00000033765	915
ENSMUSG00000100601	924
ENSMUSG00000030322	2415
ENSMUSG00000061875	945
ENSMUSG00000105089	310
ENSMUSG00000025813	457
ENSMUSG00000075587	555
ENSMUSG00000082647	642
ENSMUSG00000024382	2708
ENSMUSG00000014668	3146
ENSMUSG00000104421	525
ENSMUSG00000021252	401
ENSMUSG00000106660	154
ENSMUSG00000082746	401
ENSMUSG00000051258	985
ENSMUSG00000024503	422
ENSMUSG00000092332	577
ENSMUSG00000057503	1102
ENSMUSG00000048865	4494
ENSMUSG00000074479	730
ENSMUSG00000080782	537
ENSMUSG00000022972	374
ENSMUSG00000020783	12106
ENSMUSG00000073963	957
ENSMUSG00000064358	784
ENSMUSG00000014030	8004
ENSMUSG00000018217	1800
ENSMUSG00000032497	450
ENSMUSG00000050335	368
ENSMUSG00000107685	1273
ENSMUSG00000000318	789
ENSMUSG00000049323	3544
ENSMUSG00000021595	2834
