ENSMMUG00000023150	832
ENSMMUG00000000262	1345
ENSMMUG00000004172	1284
ENSMMUG00000003851	5119
ENSMMUG00000032315	747
ENSMMUG00000001596	1320
ENSMMUG00000020601	681
ENSMMUG00000020676	1689
ENSMMUG00000029703	168
ENSMMUG00000001137	539
ENSMMUG00000007646	1065
ENSMMUG00000020197	1035
ENSMMUG00000012868	264
ENSMMUG00000005490	552
ENSMMUG00000016254	657
ENSMMUG00000016961	1538
ENSMMUG00000020075	279
ENSMMUG00000003884	447
ENSMMUG00000016317	4079
ENSMMUG00000012229	5588
ENSMMUG00000013983	834
ENSMMUG00000006087	1764
ENSMMUG00000008406	3114
ENSMMUG00000019781	741
ENSMMUG00000009450	726
ENSMMUG00000011225	2891
ENSMMUG00000022556	1494
ENSMMUG00000001040	2400
ENSMMUG00000020943	1458
ENSMMUG00000019696	1008
ENSMMUG00000029180	279
ENSMMUG00000007534	1845
ENSMMUG00000023077	736
ENSMMUG00000004235	1064
ENSMMUG00000002162	489
ENSMMUG00000021546	1036
ENSMMUG00000011493	660
ENSMMUG00000017628	4800
ENSMMUG00000001652	1272
ENSMMUG00000015166	5488
ENSMMUG00000030179	612
ENSMMUG00000017218	3717
ENSMMUG00000012610	2625
ENSMMUG00000008666	4584
ENSMMUG00000021400	2305
ENSMMUG00000000362	2285
ENSMMUG00000016729	1460
ENSMMUG00000013976	402
ENSMMUG00000021320	2823
ENSMMUG00000031739	933
ENSMMUG00000011790	2543
ENSMMUG00000018060	564
ENSMMUG00000019248	721
ENSMMUG00000030630	273
ENSMMUG00000001739	3000
ENSMMUG00000011600	633
ENSMMUG00000021847	393
ENSMMUG00000022806	594
ENSMMUG00000008110	708
ENSMMUG00000010551	1205
ENSMMUG00000004667	885
ENSMMUG00000029292	501
ENSMMUG00000029350	1908
ENSMMUG00000003531	555
ENSMMUG00000018314	486
ENSMMUG00000010874	3562
ENSMMUG00000007171	1278
ENSMMUG00000005575	2889
ENSMMUG00000019736	6829
ENSMMUG00000021434	390
ENSMMUG00000001688	744
ENSMMUG00000004644	2003
ENSMMUG00000023434	7237
ENSMMUG00000030836	312
ENSMMUG00000014390	879
ENSMMUG00000007039	1837
ENSMMUG00000008089	876
ENSMMUG00000008743	474
ENSMMUG00000014770	1407
ENSMMUG00000032421	348
ENSMMUG00000016964	1731
ENSMMUG00000014303	1655
ENSMMUG00000013415	856
ENSMMUG00000016725	2003
ENSMMUG00000001893	612
