"mouse" "mouse_p" "rat" "rat_p" "rabbit" "rabbit_p" "pig" "pig_p"
"ENSMUSG00000021248" 2.47794382619407 0.000785643474807186 -0.311977477115112 0.00152198350225698 -0.747835713374394 0.164554582182654 -0.646612686846989 2.24475787935446e-08
"ENSMUSG00000008167" 1.16867559134614 5.25044824320462e-10 -0.702935693442777 1.96943969831662e-07 0.139225146602138 NA 1.08689541594253 0.52752929334478
"ENSMUSG00000014349" 2.34404358322362 6.51173138044097e-08 0.558972427290672 0.000254075825342669 0.192243765328539 0.668284964381172 -1.7250467879548 NA
"ENSMUSG00000022013" -0.732997177600654 0.00268084090348607 -0.509866147657998 0.00635476884856184 1.14202663414823 0.00182076105327729 0.381225820533487 0.15540439483546
"ENSMUSG00000017588" -0.75241929451362 1.72785739365735e-06 0.352548325409465 0.0548291204151398 0.459659604985425 0.65431759264813 0.0608396599222137 0.816401240083385
"ENSMUSG00000020340" 2.07128224538117 0.000101057539062935 1.29384450547562 0.000146929269163132 0.109146145967269 0.874605429117104 0.408660541222735 0.778309679607863
"ENSMUSG00000003617" -2.72123150585865 3.50190342765371e-19 -0.554070539277297 0.0633613722729781 1.02645445081759 0.0724416020442704 0.255170464562668 0.358211268552604
"ENSMUSG00000019792" 1.11849696974944 1.59769815443838e-05 -0.47048864724986 0.179399455946722 0.240508769061295 0.874886232290457 0.51432834278596 0.000327250977787455
"ENSMUSG00000006304" -2.3640212144574 4.44532128651161e-12 -1.95549329174163 0.183776705041718 1.47531208202889 0.265183599366192 0.0856698727307005 0.718547343496351
"ENSMUSG00000017286" 1.0239543774097 1.3271276281785e-06 0.489279348569595 0.00128019330924347 -3.33591444297841 0.00922633368271385 0.325018500501756 0.842004162215497
"ENSMUSG00000019027" 1.10580143846182 8.32051916864968e-06 -0.0159822143727518 0.936252945927387 -0.668178422133126 0.533521602344807 -0.943202491786631 NA
"ENSMUSG00000014769" 1.96452977279997 9.02540152666492e-08 2.31698142590768 6.0321370814474e-20 0.999670153376687 0.542720541308463 0.834684515897119 NA
"ENSMUSG00000001552" 3.23592090183984 6.64330845487929e-39 -0.127328341623557 0.257173778736074 -0.0916935481386823 0.891800827754835 -0.347849937089882 0.813338570106231
"ENSMUSG00000020882" 0.731955596276915 0.000397729548085675 -0.747556377371848 7.77034929476367e-07 0.339234375669087 0.892871216377247 -0.0570346073613857 0.821424113092431
